Model,Size,IT,Original,WiCkeD,
DS-R1-Llama,8B,0,56.6,48.6,-7.9 +1.1%
DS-R1-Qwen,7B,0,60.8,53.4,-7.3 +1.6%
,8B,0,61.4,52.2,-9.2 +1.7%
,8B,1,66.0,55.0,-11.0 +0.9%
Llama-3.1,70B,0,76.8,67.0,-9.8 +2.1%
,70B,1,77.1,64.5,-12.6 +1.3%
,7B,0,59.8,46.5,-13.2 +1.2%
Mistral,7B,1,59.0,47.2,-11.8 +1.1%
,7B,0,74.7,54.9,-19.7 +1.5%
,7B,1,73.5,59.0,-14.5 +1.3%
,14B,0,78.9,66.3,-12.6 +2.1%
Qwen-2.5,14B,1,78.9,66.6,-12.3 +1.8%
,72B,0,84.6,72.6,-12.0 +0.9%
,72B,1,82.6,69.3,-13.3 +1.0%
,9B,0,67.3,56.3,-10.9 +1.2%
,9B,1,73.3,57.6,-15.7 +1.2%
Gemma-2,27B,0,68.0,54.6,-13.4 +2.0%
,27B,1,74.8,61.9,-12.9 +2.3%
